== Sheet: Introduction ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,CHOOSING THE RIGHT CYBER FUNDAMENTALS ASSURANCE LEVEL FOR YOUR ORGANIZATION,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,CyFun-Selection,,,,,,,,
,,,,,,,,,,,,
,"This tool is developed by the Centre for Cybersecurity Belgium to conduct an easy risk assessment resulting in a well-informed selection of the appropriate Cyber Fundamentals Assurance Level in the context of NIS2.
This tool does not impose a specific methodology regarding risk analysis used by an organisation in its day-to-day management.",,,,,,,,Change Log,,,
,,,,,,,,,Date,,Reason for change,
,,,,,,,,,2023-05-31 00:00:00,,Release for validation,
,,,,,,,,,2023-07-10 00:00:00,,Initial Release,
,,,,,,,,,2024-01-08 00:00:00,,Including feedback users,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,User Instructions,,,Criteria used in the model ,,,,,Applicable version of the CyberFundamentels framework,,,
,,,,Sectors identified in NIS2,,,,,Version,requirements,,Latest version published on www.cyfun.be
,,,,,,,,,Version,CAS (*),,Latest version published on www.cyfun.be
,,,,,,,,,(*) Conformity Assessment Scheme,,,

== Sheet: I.1_Energy ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,Version:,2024-01-08 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Energy,,,Common skills,,Common skills,,Common skills,,Extended Skills,,Extended Skills,,,
,Organization Size (L/M/S = 3/2/1),3,Threat Actor Type ,Competitors,,Ideologues Hactivists,,Terrorist,,Cyber Criminals,,Nation State actor,,,
,Cyber Attack Category,Global  or Targetted,Impact,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,,
,"Sabotage/ Disruption (DDOS,...)",2,High,Low,0,Low,0,Med,30,Med,30,High,60,,
,"Information Theft (espionage, ...)",2,High,Low,0,Low,0,Low,0,High,60,High,60,,
,Crime (Ransom attacks),1,High,Low,0,Low,0,Low,0,High,30,Low,0,,
,"Hactivism (Subversion, defacement...)",1,Med,Low,0,Med,7.5,Low,0,Low,0,Med,7.5,,
,Disinformation (political influencing),1,Low,Low,0,Med,0,Low,0,Low,0,Low,0,Score,CyFun Level
,,Total,Total,,0,,7.5,,30,,120,,127.5,285,ESSENTIAL

== Sheet: I.2_Transport ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,Version:,2024-01-08 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Transport,,,Common skills,,Common skills,,Common skills,,Extended Skills,,Extended Skills,,,
,Organization Size (L/M/S = 3/2/1),3,Threat Actor Type ,Competitors,,Ideologues Hactivists,,Terrorist,,Cyber Criminals,,Nation State actor,,,
,Cyber Attack Category,Global  or Targetted,Impact,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,,
,"Sabotage/ Disruption (DDOS,...)",2,High,Low,0,Low,0,Med,30,Low,0,High,60,,
,"Information Theft (espionage, ...)",2,High,Low,0,Low,0,Low,0,High,60,High,60,,
,Crime (Ransom attacks),1,High,Low,0,Low,0,Low,0,High,30,Low,0,,
,"Hactivism (Subversion, defacement...)",1,Med,Low,0,Med,7.5,Low,0,Low,0,Med,7.5,,
,Disinformation (political influencing),1,Low,Low,0,Med,0,Low,0,Low,0,Low,0,Score,CyFun Level
,,Total,Total,,0,,7.5,,30,,90,,127.5,255,ESSENTIAL

== Sheet: I.4_Fin ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,Version:,2024-01-08 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Financial market infrastructures
Banking",,,Common skills,,Common skills,,Common skills,,Extended Skills,,Extended Skills,,,
,Organization Size (L/M/S = 3/2/1),3,Threat Actor Type ,Competitors,,Ideologues Hactivists,,Terrorist,,Cyber Criminals,,Nation State actor,,,
,Cyber Attack Category,Global  or Targetted,Impact,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,,
,"Sabotage/ Disruption (DDOS,...)",2,High,Low,0,Med,30,Med,30,Low,0,Med,30,,
,"Information Theft (espionage, ...)",2,High,Low,0,Low,0,Med,30,High,60,Med,30,,
,Crime (Ransom attacks),1,High,Low,0,Low,0,Low,0,High,30,Low,0,,
,"Hactivism (Subversion, defacement...)",1,Med,Low,0,Med,7.5,Low,0,Low,0,Med,7.5,,
,Disinformation (political influencing),1,Low,Low,0,Med,0,Low,0,Low,0,Low,0,Score,CyFun Level
,,Total,Total,,0,,37.5,,60,,90,,67.5,255,ESSENTIAL

== Sheet: I.5_Health ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,Version:,2024-01-08 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Healthcare,,,Common skills,,Common skills,,Common skills,,Extended Skills,,Extended Skills,,,
,Organization Size (L/M/S = 3/2/1),3,Threat Actor Type ,Competitors,,Ideologues Hactivists,,Terrorist,,Cyber Criminals,,Nation State actor,,,
,Cyber Attack Category,Global  or Targetted,Impact,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,,
,"Sabotage/ Disruption (DDOS,...)",2,High,Low,0,Med,30,Med,30,Low,0,Med,30,,
,"Information Theft (espionage, ...)",2,High,Low,0,Low,0,Med,30,Med,30,Med,30,,
,Crime (Ransom attacks),1,High,Low,0,Low,0,Low,0,High,30,Low,0,,
,"Hactivism (Subversion, defacement...)",1,Low,Low,0,Low,0,Low,0,Low,0,Low,0,,
,Disinformation (political influencing),1,Med,Low,0,Med,7.5,Low,0,Low,0,Low,0,Score,CyFun Level
,,Total,Total,,0,,37.5,,60,,60,,60,217.5,ESSENTIAL

== Sheet: I.6_Drinking water ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,Version:,2024-01-08 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Drinking water,,,Common skills,,Common skills,,Common skills,,Extended Skills,,Extended Skills,,,
,Organization Size (L/M/S = 3/2/1),3,Threat Actor Type ,Competitors,,Ideologues Hactivists,,Terrorist,,Cyber Criminals,,Nation State actor,,,
,Cyber Attack Category,Global  or Targetted,Impact,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,,
,"Sabotage/ Disruption (DDOS,...)",2,High,Low,0,Med,30,High,60,Low,0,High,60,,
,"Information Theft (espionage, ...)",2,Med,Low,0,Low,0,Med,15,Med,15,Med,15,,
,Crime (Ransom attacks),1,Med,Low,0,Low,0,Low,0,Med,7.5,Low,0,,
,"Hactivism (Subversion, defacement...)",1,Low,Low,0,Low,0,Low,0,Low,0,Low,0,,
,Disinformation (political influencing),1,Low,Low,0,Low,0,Low,0,Low,0,Low,0,Score,CyFun Level
,,Total,Total,,0,,30,,75,,22.5,,75,202.5,ESSENTIAL

== Sheet: I.7_Waste water ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,Version:,2024-01-08 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Waste water,,,Common skills,,Common skills,,Common skills,,Extended Skills,,Extended Skills,,,
,Organization Size (L/M/S = 3/2/1),3,Threat Actor Type ,Competitors,,Ideologues Hactivists,,Terrorist,,Cyber Criminals,,Nation State actor,,,
,Cyber Attack Category,Global  or Targetted,Impact,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,Prob,Risk Score,,
,"Sabotage/ Disruption (DDOS,...)",2,High,Low,0,Med,30,High,60,Low,0,High,60,,
,"Information Theft (espionage, ...)",2,Med,Low,0,Low,0,Med,15,Med,15,Med,15,,
,Crime (Ransom attacks),1,Med,Low,0,Low,0,Low,0,Med,7.5,Low,0,,
,"Hactivism (Subversion, defacement...)",1,Low,Low,0,Low,0,Low,0,Low,0,Low,0,,
,Disinformation (political influencing),1,Low,Low,0,Low,0,Low,0,Low,0,Low,0,Score,CyFun Level
,,Total,Total,,0,,30,,75,,22.5,,75,202.5,ESSENTIAL

== Sheet: I.8_Digital Infra ==
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,Version:,2024-01-08 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Digital infrastructure
B2B ICT service management",,,Common skills,,Common skills,,Common skills,,Extended Skills,,Extended Skills,,,
